IAB101-Con_BS_1,IAB101-DL_app_1,IAB101-DL_CQI_1,IAB101-UL_app_1,IAB101-UL_CQI_1,IAB101-Con_BS_2,IAB101-DL_app_2,IAB101-DL_CQI_2,IAB101-UL_app_2,IAB101-UL_CQI_2,IAB102-Con_BS_1,IAB102-DL_app_1,IAB102-DL_CQI_1,IAB102-UL_app_1,IAB102-UL_CQI_1,IAB102-Con_BS_2,IAB102-DL_app_2,IAB102-DL_CQI_2,IAB102-UL_app_2,IAB102-UL_CQI_2,IAB103-Con_BS_1,IAB103-DL_app_1,IAB103-DL_CQI_1,IAB103-UL_app_1,IAB103-UL_CQI_1,IAB103-Con_BS_2,IAB103-DL_app_2,IAB103-DL_CQI_2,IAB103-UL_app_2,IAB103-UL_CQI_2,IAB104-Con_BS_1,IAB104-DL_app_1,IAB104-DL_CQI_1,IAB104-UL_app_1,IAB104-UL_CQI_1,IAB104-Con_BS_2,IAB104-DL_app_2,IAB104-DL_CQI_2,IAB104-UL_app_2,IAB104-UL_CQI_2,IAB105-Con_BS_1,IAB105-DL_app_1,IAB105-DL_CQI_1,IAB105-UL_app_1,IAB105-UL_CQI_1,IAB105-Con_BS_2,IAB105-DL_app_2,IAB105-DL_CQI_2,IAB105-UL_app_2,IAB105-UL_CQI_2,IAB106-Con_BS_1,IAB106-DL_app_1,IAB106-DL_CQI_1,IAB106-UL_app_1,IAB106-UL_CQI_1,IAB106-Con_BS_2,IAB106-DL_app_2,IAB106-DL_CQI_2,IAB106-UL_app_2,IAB106-UL_CQI_2,IAB107-Con_BS_1,IAB107-DL_app_1,IAB107-DL_CQI_1,IAB107-UL_app_1,IAB107-UL_CQI_1,IAB107-Con_BS_2,IAB107-DL_app_2,IAB107-DL_CQI_2,IAB107-UL_app_2,IAB107-UL_CQI_2,IAB108-Con_BS_1,IAB108-DL_app_1,IAB108-DL_CQI_1,IAB108-UL_app_1,IAB108-UL_CQI_1,IAB108-Con_BS_2,IAB108-DL_app_2,IAB108-DL_CQI_2,IAB108-UL_app_2,IAB108-UL_CQI_2,IAB109-Con_BS_1,IAB109-DL_app_1,IAB109-DL_CQI_1,IAB109-UL_app_1,IAB109-UL_CQI_1,IAB109-Con_BS_2,IAB109-DL_app_2,IAB109-DL_CQI_2,IAB109-UL_app_2,IAB109-UL_CQI_2,IAB110-Con_BS,IAB110-DL_app,IAB110-DL_CQI,IAB110-UL_app,IAB110-UL_CQI
110,8.5,5,30,5,103,6,15,17.5,15,110,10,8,37.5,8,104,3.5,10,11,10,110,7.5,5,25,5,109,7.5,12,1.5,12,110,10.5,6,32.5,6,106,2.5,9,17.5,9,110,5,5,25,5,106,20,15,4,15,110,6.5,5,25,5,107,2.5,9,5,9,110,5,7,27.5,7,108,20,11,4,11,110,8.5,9,35,9,104,7.5,8,5,8,110,8.5,5,27.5,5,101,7.5,11,2.5,11,-1,17.5,11,47.5,7
110,9,5,30,5,103,5.5,15,15,15,110,9.5,8,37.5,8,104,8,10,15,10,110,8.5,5,25,5,109,10,12,3,12,110,8.5,6,35,6,106,6,9,17.5,9,110,6,5,22.5,5,106,17.5,15,5,15,110,8.5,5,27.5,5,107,3,9,5,9,110,5.5,7,25,7,108,17.5,11,4,11,110,7.5,9,35,9,104,6,8,5,8,110,7,5,27.5,5,101,10,11,2.5,11,-1,17.5,11,47.5,7
110,8.5,5,27.5,5,103,5.5,15,20,15,110,10.5,8,35,8,104,2,10,12.5,10,110,8,5,27.5,5,109,7.5,12,2.5,12,110,8.5,6,35,6,106,4,9,22.5,9,110,5.5,5,25,5,106,20,15,4.5,15,110,7,5,27.5,5,107,0.5,9,5,9,110,6,7,27.5,7,108,17.5,11,4.5,11,110,8,9,32.5,9,104,7.5,8,10,8,110,8,5,27.5,5,101,7.5,11,3,11,-1,17.5,11,47.5,7
110,9.5,5,30,5,103,5.5,15,17.5,15,110,10.5,8,35,8,104,4.5,10,15,10,110,8.5,5,25,5,109,7.5,12,3,12,110,8,6,35,6,106,4.5,9,20,9,110,4.5,5,22.5,5,106,17.5,15,3.5,15,110,8,5,27.5,5,107,3.5,9,7.5,9,110,5.5,7,30,7,108,20,11,3.5,11,110,9,9,32.5,9,104,5,8,5,8,110,6.5,5,27.5,5,101,10,11,4.5,11,-1,17.5,11,47.5,7
110,10.5,5,27.5,5,103,5.5,15,17.5,15,110,11,8,37.5,8,104,4.5,10,13,10,110,6.5,5,25,5,109,7.5,12,1,12,110,8,6,35,6,106,4,9,20,9,110,4,5,22.5,5,106,17.5,15,3,15,110,8.5,5,30,5,107,3,9,5,9,110,5,7,25,7,108,17.5,11,3.5,11,110,9,9,32.5,9,104,5,8,7.5,8,110,7.5,5,30,5,101,10,11,1,11,-1,17.5,11,47.5,7
110,9.5,5,30,5,103,5.5,15,17.5,15,110,11,8,37.5,8,104,4,10,12.5,10,110,6,5,27.5,5,109,10,12,0.5,12,110,8,6,32.5,6,106,3.5,9,17.5,9,110,5,5,20,5,106,15,15,4,15,110,7,5,30,5,107,3,9,5,9,110,6,7,27.5,7,108,20,11,4.5,11,110,8.5,9,35,9,104,7.5,8,5.5,8,110,9,5,25,5,101,12.5,11,7,11,-1,17.5,11,47.5,7
110,8.5,5,30,5,103,6,15,17.5,15,110,11,8,37.5,8,104,4,10,12.5,10,110,8,5,25,5,109,7.5,12,2,12,110,9,6,35,6,106,3,9,15,9,110,4.5,5,20,5,106,15,15,3.5,15,110,7.5,5,30,5,107,2.5,9,2.5,9,110,5.5,7,27.5,7,108,22.5,11,4.5,11,110,8,9,32.5,9,104,5,8,2.5,8,110,8,5,27.5,5,101,10,11,5,11,-1,17.5,11,47.5,7
110,7.5,5,27.5,5,103,7,15,17.5,15,110,9.5,8,40,8,104,8,10,12.5,10,110,8,5,27.5,5,109,10,12,1,12,110,8,6,32.5,6,106,5,9,17.5,9,110,5.5,5,22.5,5,106,17.5,15,4.5,15,110,8,5,25,5,107,3,9,7.5,9,110,6.5,7,30,7,108,20,11,5,11,110,8,9,32.5,9,104,7.5,8,8,8,110,9,5,27.5,5,101,10,11,2.5,11,-1,17.5,11,47.5,7
110,10.5,5,32.5,5,103,4.5,15,12.5,15,110,8.5,8,35,8,104,6.5,10,15,10,110,6.5,5,22.5,5,109,10,12,2,12,110,9,6,35,6,106,5,9,17.5,9,110,7,5,22.5,5,106,17.5,15,6,15,110,7,5,27.5,5,107,0,9,2.5,9,110,5.5,7,27.5,7,108,20,11,4.5,11,110,8.5,9,35,9,104,7.5,8,5.5,8,110,7.5,5,27.5,5,101,10,11,2,11,-1,17.5,11,47.5,7
110,8.5,5,27.5,5,103,6,15,15,15,110,11.5,8,37.5,8,104,1,10,10,10,110,7,5,25,5,109,10,12,1,12,110,7,6,35,6,106,4.5,9,17.5,9,110,4.5,5,20,5,106,15,15,3.5,15,110,7,5,27.5,5,107,2,9,5,9,110,8.5,7,30,7,108,20,11,5.5,11,110,7,9,32.5,9,104,5,8,5,8,110,9,5,30,5,101,12.5,11,2.5,11,-1,17.5,11,47.5,7
